Név,Dátum,Utolsó ár
BUX,2013.02.05.,19264.86
BUX,2013.02.06.,19238.25
BUX,2013.02.07.,19103.81
BUX,2013.02.08.,19023.39
BUX,2013.02.11.,19067.18
BUX,2013.02.12.,19101.09
BUX,2013.02.13.,19237.08
BUX,2013.02.14.,18869.76
BUX,2013.02.15.,18822.96
BUX,2013.02.18.,19076.83
BUX,2013.02.19.,19236.02
BUX,2013.02.20.,19095.16
BUX,2013.02.21.,18749.84
BUX,2013.02.22.,18866.7
BUX,2013.02.25.,18820.96
BUX,2013.02.26.,18474.2
BUX,2013.02.27.,18509.4
BUX,2013.02.28.,18804.96
BUX,2013.03.01.,18846.94
BUX,2013.03.04.,18620.06
BUX,2013.03.05.,18836.16
BUX,2013.03.06.,18923.82
BUX,2013.03.07.,19073.56
BUX,2013.03.08.,19114.73
BUX,2013.03.11.,18879.34
BUX,2013.03.12.,18680.93
BUX,2013.03.13.,18471.81
BUX,2013.03.14.,18354.98
BUX,2013.03.18.,18152.07
BUX,2013.03.19.,18005.67
BUX,2013.03.20.,18311.05
BUX,2013.03.21.,18249.83
BUX,2013.03.22.,17999.08
BUX,2013.03.25.,17892.65
BUX,2013.03.26.,18030.59
BUX,2013.03.27.,17908.99
BUX,2013.03.28.,17857.42
BUX,2013.04.02.,18097.79
BUX,2013.04.03.,17930.84
BUX,2013.04.04.,18073.06
BUX,2013.04.05.,18056.23
